Date,Open,High,Low,Close
2017-11-21,258.917,260.119,258.917,259.903
2017-11-22,260.031,260.094,259.523,259.708
2017-11-24,260.042,260.421,260.042,260.242
2017-11-27,260.266,260.641,259.887,260.142
2017-11-28,260.594,262.769,260.544,262.704
2017-11-29,262.782,263.489,262.032,262.607
2017-11-30,263.393,265.774,263.393,264.758
2017-12-01,264.510,265.062,260.552,264.222
2017-12-04,265.719,266.519,263.903,263.944
2017-12-05,263.978,264.872,262.773,262.957
2017-12-06,262.624,263.441,262.475,262.927
2017-12-07,262.838,264.099,262.653,263.698
2017-12-08,264.621,265.165,264.410,265.150
2017-12-11,265.219,266.033,265.147,265.999
2017-12-12,266.173,266.972,265.978,266.411
2017-12-13,266.759,267.188,266.285,266.285
2017-12-14,266.587,266.809,265.201,265.201
2017-12-15,266.063,267.963,265.914,267.581
2017-12-18,268.592,269.497,268.592,269.016
2017-12-19,269.271,269.444,268.074,268.147
2017-12-20,268.818,269.101,267.611,267.925
2017-12-21,268.302,269.264,268.240,268.457
2017-12-22,268.422,268.535,267.813,268.334
2017-12-26,267.909,268.274,267.796,268.050
2017-12-27,268.210,268.564,267.891,268.262
2017-12-28,268.610,268.766,268.269,268.754
2017-12-29,268.915,269.212,267.361,267.361
2018-01-02,268.373,269.589,268.236,269.581
2018-01-03,269.785,271.437,269.777,271.306
2018-01-04,271.931,272.929,271.907,272.399
2018-01-05,273.133,274.345,272.792,274.315
2018-01-08,274.267,274.851,273.760,274.771
2018-01-09,275.115,275.914,274.786,275.129
2018-01-10,274.555,275.080,273.606,274.823
2018-01-11,275.297,276.756,275.278,276.756
2018-01-12,277.018,278.785,276.964,278.624
2018-01-16,279.896,280.754,276.864,277.642
2018-01-17,278.499,280.704,277.838,280.256
2018-01-18,280.240,280.583,279.256,279.803
2018-01-19,280.260,281.033,279.808,281.030
2018-01-22,280.916,283.303,280.812,283.297
2018-01-23,283.505,284.224,283.059,283.913
2018-01-24,284.542,285.297,282.481,283.754
2018-01-25,284.624,284.856,283.094,283.925
2018-01-26,284.748,287.287,284.618,287.287
2018-01-29,286.723,287.062,285.148,285.353
2018-01-30,283.274,283.775,281.827,282.243
2018-01-31,283.241,283.926,281.304,282.381
2018-02-01,281.645,283.596,281.270,282.198
2018-02-02,280.892,280.892,275.997,276.213
2018-02-05,274.106,276.339,263.817,264.894
2018-02-06,261.478,270.104,259.307,269.514
2018-02-07,269.095,272.767,268.133,268.166
2018-02-08,268.501,268.527,258.056,258.100
2018-02-09,260.178,263.867,253.269,261.955
2018-02-12,263.675,267.261,262.245,265.600
2018-02-13,264.627,266.884,263.708,266.294
2018-02-14,265.121,270.210,264.887,269.863
2018-02-15,271.346,273.151,268.982,273.120
2018-02-16,272.714,275.442,272.511,273.222
2018-02-20,272.299,273.760,270.676,271.626
2018-02-21,272.053,274.775,270.129,270.133
2018-02-22,271.042,273.126,269.777,270.396
2018-02-23,271.580,274.776,271.374,274.730
2018-02-26,275.737,278.064,275.378,277.960
2018-02-27,278.045,278.915,274.422,274.428
2018-02-28,275.378,276.152,271.354,271.383
2018-03-01,271.522,273.089,265.965,267.767
2018-03-02,265.889,269.625,264.732,269.125
2018-03-05,268.106,272.809,267.575,272.094
2018-03-06,273.018,273.208,271.126,272.812
2018-03-07,271.018,273.060,270.174,272.680
2018-03-08,273.275,274.045,272.265,273.897
2018-03-09,275.291,278.657,275.154,278.657
2018-03-12,279.054,279.698,277.926,278.302
2018-03-13,279.231,280.190,275.868,276.531
2018-03-14,277.406,277.711,274.438,274.948
2018-03-15,275.427,276.303,274.147,274.733
2018-03-16,275.057,276.185,274.997,275.201
2018-03-19,274.138,274.138,269.459,271.292
2018-03-20,271.505,272.422,271.005,271.694
2018-03-21,271.499,273.914,270.979,271.193
2018-03-22,269.136,269.568,264.159,264.369
2018-03-23,264.671,265.767,258.589,258.826
2018-03-26,261.935,266.136,260.181,265.855
2018-03-27,266.757,267.478,259.612,261.262
2018-03-28,261.130,263.265,259.306,260.500
